G,NO,ì˙ït,ìXï‹,ìXï‹ñº,ãqêî,ì_êî,ì‡ê≈ïWèÄ,ì‡ê≈åyå∏,äOê≈ïWèÄ,äOê≈åyå∏,ê≈çáåv,ê≈î≤îÑè„,ê≈î≤îÑè„(èÉäz),ê≈çûîÑè„,îÉè„ì_êî,ãqíPâø,ì_íPâø,POSëeóò,POSëeóòó¶%,ëeóòó¶%(èÉäz),é¿ëeóò,é¿ëeóòó¶%,ÉçÉXäz,ÉçÉXó¶%,ÉçÉXó¶ÅiíIâµÅj,ÉçÉXó¶Åiîpä¸Åj,óàìXâÔàıêî,ëçî≠çsŒﬂ≤›ƒ,œ≤ ﬁØ∏ﬁãqêî,œ≤ ﬁØ∏ﬁŒﬂ≤›ƒ,Ãﬂ⁄ ﬂΩãqêî,Ãﬂ⁄ ﬂΩŒﬂ≤›ƒ,äîéÂãqêî,äîéÂã‡äz(ê≈çûÇ›),äîéÂílà¯(ê≈çûÇ›),⁄ºﬁë‹(ê≈çûÇ›),Ç®îÉï®äÑà¯åîî≠çsã‡äz,Ç®îÉï®äÑà¯åîégópã‡äz,500â~åîî≠çsã‡äz,500â~åîégópã‡äz,í«â¡500â~åîî≠çsã‡äz,í«â¡500â~åîégópã‡äz,dŒﬂ≤›ƒïtó^é“êî,dŒﬂ≤›ƒïtó^Œﬂ≤›ƒëçêî,dŒﬂ≤›ƒóòópé“êî,dŒﬂ≤›ƒóòópŒﬂ≤›ƒëçêî,Aoca¡¨∞ºﬁPïtó^âÒêî,Aoca¡¨∞ºﬁPïtó^Œﬂ≤›ƒêî
0,15,2021/03/06,471,ñLèZí¨,302,2205,2419,0,30820,15358,48597,526920,526920,575517,7.3,1744.77,238.97,132391,25.1,25.1,5088,1,127303,24.2,23.9,0.3,206,3633,0,0,0,0,0,0,0,0,0,0,6000,17000,4500,4500,26,359,0,0,66,682
0,16,2021/03/07,471,ñLèZí¨,484,4088,1873,0,60687,33498,96058,1048568,1048568,1144626,8.45,2166.46,256.5,252728,24.1,24.1,250797,23.9,1931,0.2,0,0.2,365,41579,0,0,0,0,0,0,0,0,0,0,48500,9500,1000,1000,38,606,4,4502,123,1812
0,17,2021/03/08,471,ñLèZí¨,289,2288,2455,0,28323,17122,47900,524251,524251,572151,7.92,1814.02,229.13,113634,21.7,21.7,108573,20.7,5061,1,0.3,0.7,194,4159,0,0,0,0,0,0,0,0,0,0,3000,16500,4000,4000,19,182,4,4278,49,552
0,18,2021/03/09,471,ñLèZí¨,268,1919,1112,0,23956,14534,39602,434725,434725,474327,7.16,1622.11,226.54,97763,22.5,22.5,92478,21.3,5285,1.2,0.8,0.4,167,3264,0,0,0,0,0,0,0,0,0,0,4000,15000,4000,4000,25,305,2,1103,48,462
0,19,2021/03/10,471,ñLèZí¨,426,3839,2617,0,54163,29084,85864,935116,935116,1020980,9.01,2195.11,243.58,185812,19.9,19.9,184779,19.8,1033,0.1,0,0.1,350,39449,0,0,0,0,0,0,0,0,0,0,37500,15000,4500,4500,18,247,1,2086,115,1601
0,20,2021/03/11,471,ñLèZí¨,283,1929,1661,0,29244,15560,46465,505943,505943,552408,6.82,1787.78,262.28,118320,23.4,23.4,106783,21.1,11537,2.3,0.1,2.2,174,3461,0,0,0,0,0,0,0,0,0,0,3000,12500,2000,2000,23,443,1,403,57,772
0,21,2021/03/12,471,ñLèZí¨,287,2171,1199,0,23517,16799,41515,459685,459685,501200,7.56,1601.69,211.74,98427,21.4,21.4,97185,21.1,1242,0.3,0,0.3,191,3591,0,0,0,0,0,0,0,0,0,0,3000,22000,6500,6500,22,365,3,3519,47,482
0,22,2021/03/13,471,ñLèZí¨,265,1841,1414,0,22701,13603,37718,413451,413451,451169,6.95,1560.19,224.58,99829,24.1,24.1,95458,23.1,4371,1.1,0.3,0.8,166,2968,0,0,0,0,0,0,0,0,0,0,4000,12500,3500,3500,35,476,6,3580,57,489
0,23,2021/03/14,471,ñLèZí¨,418,3809,3503,0,53444,31049,87996,961563,961563,1049559,9.11,2300.39,252.44,218444,22.7,22.7,214668,22.3,3776,0.4,0.3,0.1,326,39667,0,0,0,0,0,0,0,0,0,0,42500,16500,5000,5000,20,391,5,9566,127,1549
0,24,2021/03/15,471,ñLèZí¨,272,1938,1984,0,25412,14588,41984,458557,458557,500541,7.13,1685.87,236.61,99467,21.7,21.7,94555,20.6,4912,1.1,0,1.1,191,3405,0,0,0,0,0,0,0,0,0,0,2500,11000,2000,2000,21,312,2,1451,63,564
0,25,2021/03/16,471,ñLèZí¨,267,1890,1399,0,25816,16084,43299,475450,475450,518749,7.08,1780.71,251.56,119579,25.2,25.2,133305,28,-13726,-2.9,-3.4,0.6,160,3157,0,0,0,0,0,0,0,0,0,0,1000,9500,2000,2000,30,480,4,4428,49,537
0,26,2021/03/17,471,ñLèZí¨,389,3394,1637,0,49821,25149,76607,832328,832328,908935,8.72,2139.66,245.24,192140,23.1,23.1,181359,21.8,10781,1.3,0.7,0.6,321,35575,0,0,0,0,0,0,0,0,0,0,38500,7000,1500,1500,12,117,1,52,117,1600
0,27,2021/03/18,471,ñLèZí¨,316,2322,1412,0,30755,17971,50138,548957,548957,599095,7.35,1737.21,236.42,131090,23.9,23.9,122058,22.2,9032,1.6,0,1.6,209,4000,0,0,0,0,1,747,39,0,0,0,3500,21000,5500,5500,28,413,5,3738,72,855
0,28,2021/03/19,471,ñLèZí¨,270,2094,1353,0,23952,16324,41629,459402,459402,501031,7.76,1701.49,219.39,109954,23.9,23.9,95010,20.7,14944,3.3,0,3.3,167,3114,0,0,0,0,0,0,0,0,0,0,3000,8000,1000,1000,26,498,6,6408,41,408
0,29,2021/03/20,471,ñLèZí¨,278,2070,1404,0,28823,16320,46547,508775,508775,555322,7.45,1830.13,245.79,123091,24.2,24.2,118787,23.3,4304,0.8,0.1,0.8,186,3170,0,0,0,0,0,0,0,0,0,0,5500,12500,3500,3500,21,471,2,3167,56,688
